,Num_Active_Stocks,BEER,GRRR,THT,IBCO,BORN,TFZ,CNWN,CDB,TBVT,PTT,BEAM,PFB,ABW,GBL,RUP,CNB,CKB,FAL,FALB,DRE,NBW,GENBB,RG,RGLD,SLZ,SFR,KNBWY,LONE,GHB,ABUD,BUD,ACCOB,RKY,TAP,PABT,OLYB,PTBC,HAN,BAS,SXC,CU,CCU,HOOK,BREW,SAM,CFN,BRH,ABV,ABEV,AED,MLB,LQU,ROX,CREG,FO,MWGP,MGPI,AFTI,DR,CUE,BACA,BBRL,ADC,SH,DCS,VO,HIR,CHLN,CGAS,BJD,BFD,BF,CDL,DIL,GDS,SBR,HBL,TFI,HTC,JACQ,BBR,CDG,STZ,RAIN,TYLR,THTR,DEO,RUM,VCO,ADSO,NDC,GWT,CEDC,Portfolio_Returns,Portfolio_Proportion,rf
1962-08-31,20,,,,,,,,,,,,0.004761904761904766,,0.005000000000000001,0.00023584905660377502,0.0029411764705882353,,-0.00038461538461538,,0.005851063829787225,-0.0007575757575757551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005025125628140701,,,,0.00033783783783783504,-0.001298701298701295,0.00031446540880503,,0.00523415977961432,,,0.001655629139072845,0.002900552486187845,8.506873412571315e-05,0.0037815126050420103,-0.0016891891891891852,0.0011718750000000002,-0.002054794520547945,0.0017605633802816852,,,,,,,,,,,,,,,,,0.027044269776407653,0.05,0.0023
1962-09-30,19,,,,,,,,,,,,-0.0022883295194507944,,-0.009569377990430616,-0.0024709661477637737,-0.0029239766081871313,,-0.0031415748674010597,,-0.008020050125313283,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004007480630510284,,,,0.0,-0.002456140350877189,-0.002631578947368421,,-0.002628796429977682,,,-0.00522941970310391,-0.0009619348632678264,,-0.0014391447368421052,0.0003680529996319473,0.0014061872237846526,4.473760543308608e-18,-0.0054421768707483,,,,,,,,,,,,,,,,,-0.05353670756782577,0.05263157894736842,0.0021
1962-10-31,19,,,,,,,,,,,,-0.007177033492822962,,-0.023391812865497075,-0.004148301788955147,0.0030959752321981417,,-0.0021929824561403473,,-0.0005913660555884105,0.0016194331983805578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017351069982648893,,,,-0.0050512186506534796,-0.002576370997423627,0.0015581717451523473,,-0.0013923698134224473,,,-0.002809514890428921,-0.0016797312430011156,,-0.002325089833016274,0.003289473684210526,0.0005869692819409052,0.0,-0.002410606669345116,,,,,,,,,,,,,,,,,-0.04983148261267733,0.05263157894736842,0.0025
1962-11-30,17,,,,,,,,,,,,,,,0.0012582573136206354,0.004691830065359475,,0.004859335038363164,,0.001737967914438505,-0.0017559262510974472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007152406417112296,,,,0.011015642211940953,0.012730465320456541,0.007650892689344113,,0.005594629156010223,,,0.0112781954887218,0.0019392372333548824,,0.0033212061295106194,0.0019223375624759765,0.004065743944636677,0.0008525149190110824,0.009411764705882347,,,,,,,,,,,,,,,,,0.08572649985914185,0.058823529411764705,0.002
1962-12-31,18,,,,,,,,,,,,,0.0,,0.0008726003490401388,0.0021645021645021554,,-0.0009817045961624281,,0.0006242197253433222,0.0008547008547008499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002849002849002833,,,,-0.0018576936558009072,-0.004771642808452617,0.0006349206349206278,,0.0052350923628342975,,,-0.0018226428321065512,-0.0027186761229314404,,0.00045537340619307214,-0.003054852320675104,-0.0050154320987654275,-0.001507936507936507,-0.003908045977011492,,,,,,,,,,,,,,,,,-0.017382117707208294,0.05555555555555555,0.0023
1963-01-31,18,,,,,,,,,,,,,0.011111111111111105,,0.0022909507445589947,-0.0006944444444444388,,0.0059687786960514275,,0.006172839506172839,-0.0008417508417508388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003150057273768611,,,,0.007127192982456143,0.00782997762863534,0.0021971123666038885,,0.0001268391679350611,,,0.004189435336976316,0.0074906367041198555,,0.0036133694670279944,-0.00225225225225225,0.01145038167938931,0.0,0.008706467661691532,,,,,,,,,,,,,,,,,0.07513670278805089,0.05555555555555555,0.0025
1963-02-28,18,,,,,,,,,,,,,-0.0023148148148148112,,0.00495049504950495,-0.0008843319268635706,,0.0018656716417910389,,-0.0002222222222222222,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002872628726287259,,,,-0.001133786848072561,-0.004629629629629628,-0.0004012318840579679,,-0.00366995697291825,,,-0.005420054200542,0.00165016501650165,,-0.00042408821034775,0.0027386541471048445,-0.0016174402250351565,0.0012345679012345612,-0.0017921146953404996,,,,,,,,,,,,,,,,,-0.015242746599994632,0.05555555555555555,0.0023
1963-03-31,18,,,,,,,,,,,,,0.0,,-0.007575757575757572,0.0,,0.0023666265543521815,,-0.001984126984126983,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003472222222222222,,,,-0.0016534391534391499,0.0010822510822510777,0.0011510128913443834,,0.005009040650406505,,,-0.0006381381381381329,-0.0011217948717948698,,-0.0012820512820512831,-0.00149142431021625,-0.004751461988304089,0.0020128824476650614,-0.0004444444444444425,,,,,,,,,,,,,,,,,-0.00814860290003134,0.05555555555555555,0.0023
1963-04-30,19,,,,,,-0.01475279106858054,,,,,,,0.0022883295194507944,,0.0027700831024930683,0.003417634996582358,,0.0011041589988958422,,0.001949317738791416,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-0.0021956732321601552,0.0016761649346295638,0.0016380599672388052,,-0.0014224751066856263,,,0.0027129679869777527,0.005444646098003626,,0.0018648984666390315,-0.0018148820326678735,-0.0022718667171525895,-0.0009331840238895052,0.007467994310099568,,,,,,,,,,,,,,,,,0.006443383938665538,0.05263157894736842,0.0025
1963-05-31,19,,,,,,-0.001662049861495842,,,,,,,0.008771929824561405,,-0.0031578947368421048,0.0011181514762516039,,-0.001982696467195384,,-0.001825993555316858,-0.001619433198380563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00092879256965944,,,,0.0,0.00559210526315789,0.002257129437767643,,0.0014619883040935578,,,-0.0029239766081871313,0.0009398496240601421,,0.00468953372023214,0.0007518796992481158,0.004115552037989709,0.0009500285008550263,-0.0012457178449081262,,,,,,,,,,,,,,,,,0.012901593046231782,0.05263157894736842,0.0024
