Date,BEAM,BEER,PFB,ABW,GBL,RUP,CNB,CKB,FAL,FALB,DRE,NBW,GENBB,RG,RGLD,SLZ,SFR,KNBWY,GRRR,LONE,GHB,ABUD,BUD,ACCOB,RKY,TAP,PABT,OLYB,PTBC,HAN,BAS,SXC,CU,CCU,THT,HOOK,BREW,SAM,CFN,IBCO,BRH,ABV,ABEV,AED,MLB,LQU,ROX,CREG,BORN,FO,MWGP,MGPI,AFTI,DR,CUE,BACA,BBRL,ADC,SH,DCS,VO,HIR,CHLN,CGAS,BJD,BFD,BF,CDL,DIL,GDS,SBR,HBL,TFZ,TFI,HTC,JACQ,BBR,CNWN,CDG,CDB,STZ,RAIN,TBVT,TYLR,THTR,DEO,RUM,VCO,ADSO,NDC,GWT,CEDC,PTT
1962-08-31,,,0.09523809523809534,,0.10000000000000009,0.004716981132075526,0.05882352941176472,,-0.007692307692307665,,0.11702127659574457,-0.015151515151515138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01005025125628145,,,,0.006756756756756799,-0.025974025974025983,0.0062893081761006275,,0.10468319559228645,,,0.0331125827814569,0.058011049723756924,,0.07563025210084029,-0.03378378378378377,0.0234375,-0.04109589041095896,0.035211267605633756,,,,,,,,,,,,,,,,,,,,,
1962-09-30,,,-0.04347826086956519,,-0.18181818181818177,-0.04694835680751175,-0.05555555555555558,,-0.06976744186046513,,-0.1523809523809524,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07614213197969544,,,,0.0,-0.046666666666666634,-0.050000000000000044,,-0.05735660847880297,,,-0.09935897435897434,-0.018276762402088753,,-0.02734375,0.006993006993007089,0.026717557251908497,-0.014285714285714235,-0.108843537414966,,,,,,,,,,,,,,,,,,,,,
1962-10-31,,,-0.13636363636363635,,-0.4444444444444444,-0.0788177339901478,0.05882352941176472,,-0.04166666666666663,,-0.011235955056179803,0.03076923076923066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03296703296703296,,,,-0.10402684563758391,-0.06293706293706292,0.02960526315789469,,-0.02645502645502651,,,-0.053380782918149516,-0.03191489361702127,,-0.04417670682730923,0.0625,0.011152416356877248,0.0,-0.04580152671755722,,,,,,,,,,,,,,,,,,,,,
1962-11-30,,,,,,0.021390374331550888,0.06944444444444442,,0.08260869565217388,,0.011363636363636465,-0.02985074626865669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10795454545454541,,,,0.18726591760299627,0.21641791044776126,0.1182108626198084,,0.09510869565217384,,,0.19172932330827064,0.03296703296703307,,0.025210084033613356,0.03267973856209161,0.05882352941176472,0.01449275362318847,0.15999999999999992,,,,,,,,,,,,,,,,,,,,,
1962-12-31,,,,0.0,,0.015706806282722585,0.03896103896103886,,-0.028112449799196804,,0.011235955056179803,0.01538461538461533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00512820512820511,,,,-0.04100946372239744,-0.08588957055214719,0.011428571428571344,,0.08684863523573205,,,-0.03785488958990535,-0.05319148936170215,,0.008196721311475308,-0.06329113924050633,-0.09027777777777779,-0.0357142857142857,-0.07586206896551728,,,,,,,,,,,,,,,,,,,,,
1963-01-31,,,,0.19999999999999996,,0.04123711340206193,-0.012499999999999956,,0.1074380165289257,,0.11111111111111116,-0.015151515151515138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05670103092783507,,,,0.12828947368421062,0.12751677852348986,0.039548022598870025,,0.0022831050228311334,,,0.07540983606557372,0.1348314606741574,,0.06504065040650397,-0.04054054054054057,0.20610687022900764,0.0,0.15671641791044766,,,,,,,,,,,,,,,,,,,,,
1963-02-28,,,,-0.04166666666666663,,0.08910891089108919,-0.025316455696202556,,0.033582089552238736,,-0.020000000000000018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06341463414634141,,,,-0.020408163265306145,-0.08333333333333337,-0.016304347826086918,,-0.06605922551252852,,,-0.09756097560975607,0.02970297029702973,,-0.007633587786259555,0.04929577464788726,-0.03797468354430378,0.022222222222222143,-0.032258064516129004,,,,,,,,,,,,,,,,,,,,,
1963-03-31,,,,0.0,,-0.13636363636363635,0.0,,0.032490974729241895,,-0.0357142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,-0.029761904761904767,0.01948051948051943,0.02071823204419898,,0.08292682926829276,,,-0.016891891891891886,-0.024038461538461564,,-0.023076923076923106,-0.02684563758389258,-0.08552631578947367,0.021739130434782705,-0.013333333333333308,,,,,,,,,,,,,,,,,,,,,
1963-04-30,,,,0.04347826086956519,,0.05263157894736836,0.06493506493506485,,0.020979020979021046,,0.03703703703703698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-0.049079754601227044,0.019108280254777066,0.0311231393775373,,-0.027027027027026973,,,0.05154639175257736,0.10344827586206895,,0.03543307086614167,-0.03448275862068961,-0.043165467625899234,-0.01773049645390068,0.14189189189189189,-0.2803030303030303,,,,,,,,,,,,,,,,,,,,
1963-05-31,,,,0.16666666666666674,,-0.06000000000000005,0.012195121951219523,,-0.03767123287671237,,-0.05102040816326525,-0.03076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02941176470588236,,,,0.0,0.10624999999999996,0.034120734908136496,,0.02777777777777768,,,-0.05555555555555558,0.017857142857142794,,0.06083650190114076,0.014285714285714235,0.06766917293233088,0.018050541516245522,-0.023668639053254448,-0.03157894736842104,,,,,,,,,,,,,,,,,,,,
