FAMA,index,Sin_Portfolio_Excess_Returns,value
ExRm,1962-02-28,0.014443900000000011,0.0181
,1962-03-31,-0.01394453846153847,-0.0068
,1962-04-30,-0.07579407692307691,-0.0659
,1962-05-31,-0.14046607692307694,-0.0865
,1962-06-30,-0.054827076923076916,-0.0847
,1962-07-31,0.04199700000000001,0.0628
,1962-08-31,0.02710453846153846,0.0213
,1962-09-30,-0.0715572857142857,-0.0522
,1962-10-31,-0.05177214285714285,-0.0005
,1962-11-30,0.12426371428571426,0.1087
,1962-12-31,0.004213357142857158,0.0101
,1963-01-31,0.08551849999999997,0.0493
,1963-02-28,-0.020218357142857142,-0.0238
,1963-03-31,0.024205357142857143,0.0308
,1963-04-30,0.06292914285714285,0.0451
,1963-05-31,0.005045214285714278,0.0176
,1963-06-30,-0.028922499999999986,-0.02
,1963-07-31,-0.012121714285714277,-0.0039
,1963-08-31,0.040492071428571405,0.0507
,1963-09-30,-0.010790142857142856,-0.0157
,1963-10-31,0.013764571428571421,0.0253
,1963-11-30,-0.038297999999999964,-0.0085
,1963-12-31,0.03539028571428571,0.0183
,1964-01-31,0.012995571428571436,0.0224
,1964-02-29,0.040259571428571415,0.0154
,1964-03-31,0.03536542857142854,0.0141
,1964-04-30,0.01916955555555557,0.001
,1964-05-31,0.011099944444444456,0.0142
,1964-06-30,0.027558277777777772,0.0127
,1964-07-31,0.01819588888888888,0.0174
,1964-08-31,0.001984666666666668,-0.0144
,1964-09-30,0.02433699999999999,0.0269
,1964-10-31,0.006750111111111113,0.0059
,1964-11-30,-0.028762444444444434,0.0
,1964-12-31,-0.004057055555555536,0.0003
,1965-01-31,0.08611494444444442,0.0354
,1965-02-28,0.0074067142857142795,0.0044
,1965-03-31,0.016531904761904765,-0.0134
,1965-04-30,0.012597952380952375,0.0311
,1965-05-31,0.014624428571428571,-0.0077
,1965-06-30,-0.06646390476190474,-0.0551
,1965-07-31,0.013754142857142859,0.0143
,1965-08-31,0.027967047619047617,0.0273
,1965-09-30,0.0014708571428571483,0.0286
,1965-10-31,0.014382190476190477,0.026
,1965-11-30,-0.01910190476190476,-0.0003
,1965-12-31,0.01903814285714285,0.0101
,1966-01-31,0.037927818181818174,0.0072
,1966-02-28,-0.017955730769230765,-0.0121
,1966-03-31,-0.02543807692307692,-0.0251
,1966-04-30,0.0011958888888888857,0.0214
,1966-05-31,-0.06463003333333332,-0.0566
,1966-06-30,-0.020108666666666667,-0.0144
,1966-07-31,-0.02526363333333333,-0.0163
,1966-08-31,-0.08634473333333333,-0.0791
,1966-09-30,-0.011380766666666658,-0.0106
,1966-10-31,0.008077266666666659,0.0386
,1966-11-30,0.0013484000000000065,0.014
,1966-12-31,0.006032233333333345,0.0013
,1967-01-31,0.11643162068965515,0.0815
,1967-02-28,0.017601580645161295,0.0078
