,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_decimal_returns
6973015,178591,01,2020-01-31 00:00:00,DKTS,9900.0,312140.0,2085.0,99.0
6973017,178591,01,2020-03-31 00:00:00,DKTS,9900.0,312140.0,2085.0,99.0
6973021,178591,01,2020-07-31 00:00:00,DKTS,9900.0,312140.0,2085.0,99.0
6973038,178591,01,2021-12-31 00:00:00,DKTS,9900.0,312140.0,2085.0,99.0
7033840,179681,01,2012-07-31 00:00:00,ICNB.1,5233.333,312140.0,2085.0,52.33333
7100862,182410,01,2005-11-30 00:00:00,NWMD,1920.0,713290.0,7990.0,19.2
7100873,182410,01,2007-01-31 00:00:00,NWMD,1354.545,713290.0,7990.0,13.54545
7142893,183449,01,2016-05-31 00:00:00,HKBV,99900.0,3121.0,2080.0,999.0
7142919,183449,01,2019-11-30 00:00:00,HKBV,9900.0,3121.0,2080.0,99.0
7142924,183449,01,2020-04-30 00:00:00,HKBV,9900.0,3121.0,2080.0,99.0
7142927,183449,01,2020-07-31 00:00:00,HKBV,9900.0,3121.0,2080.0,99.0
7142933,183449,01,2021-02-28 00:00:00,HKBV,29900.0,3121.0,2080.0,299.0
7142948,183449,01,2022-07-31 00:00:00,HKBV,9900.0,3121.0,2080.0,99.0
7218551,184767,90,2022-01-31 00:00:00,BORNY,158000000.0,312140.0,2085.0,1580000.0
7218555,184767,90,2022-06-30 00:00:00,BORNY,1299900.0,312140.0,2085.0,12999.0
7220537,184806,01,2019-06-30 00:00:00,RCMW,10400.0,3122.0,2100.0,104.0
7237081,185191,01,2021-11-30 00:00:00,LINUF,9900.0,713290.0,7990.0,99.0
7264415,185627,01,2010-10-31 00:00:00,BEER.1,1940.0,312120.0,2082.0,19.4
7310953,186651,01,2013-01-31 00:00:00,ELRA,40900.0,7132.0,7990.0,409.0
7311034,186651,01,2019-10-31 00:00:00,ELRA,9900.0,7132.0,7990.0,99.0
7311041,186651,01,2020-05-31 00:00:00,ELRA,9900.0,7132.0,7990.0,99.0
7317021,186768,01,2011-02-28 00:00:00,VAEV.2,3211.905,3121.0,2080.0,32.11905
7317033,186768,01,2012-02-29 00:00:00,VAEV.2,1144.443,3121.0,2080.0,11.44443
7391472,194560,01,2012-02-29 00:00:00,GWIN,8233.333,713290.0,7990.0,82.33333
7391534,194560,01,2017-04-30 00:00:00,GWIN,1058.416,713290.0,7990.0,10.584159999999999
7391574,194560,01,2020-08-31 00:00:00,GWIN,5400.0,713290.0,7990.0,54.0
2670393,14501,01,31/01/2015,NUZE,5900.0,311920.0,2090.0,
2919951,16577,01,30/06/2020,HRSR,4345.545,311920.0,2090.0,
2919969,16577,01,31/12/2021,HRSR,1500.0,311920.0,2090.0,
4549720,39883,01,30/04/2022,WFGCF,8636.364,311920.0,2090.0,
4549724,39883,01,31/08/2022,WFGCF,18737.5,311920.0,2090.0,
6216717,147308,01,30/04/2002,HCEI,439900.0,311920.0,2090.0,
6216781,147308,01,31/08/2007,HCEI,39130.77,311920.0,2090.0,
6216791,147308,01,30/06/2008,HCEI,899900.0,311920.0,2090.0,
6216803,147308,01,30/06/2009,HCEI,18361.54,311920.0,2090.0,
6216806,147308,01,30/09/2009,HCEI,1042.857,311920.0,2090.0,
6216857,147308,01,31/12/2013,HCEI,1539.344,311920.0,2090.0,
6216955,147308,01,28/02/2022,HCEI,9900.0,311920.0,2090.0,
6549308,163105,01,31/12/2007,3PLFF,6233.333,311920.0,2090.0,
6857729,176554,01,30/04/2008,JAMN,2280.952,311920.0,2090.0,
6857737,176554,01,31/12/2008,JAMN,1240.0,311920.0,2090.0,
6857870,176554,01,31/01/2020,JAMN,9900.0,311920.0,2090.0,
6857874,176554,01,31/05/2020,JAMN,9900.0,311920.0,2090.0,
