,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Sin_Portfolio_Excess_Returns,USREC
1978-11-30,0.04096903225806451,0.0271,0.0297,-0.0215,0.007,0.0545,0.03396903225806451,0
1978-12-31,-0.0184929375,0.0088,0.0129,-0.0213,0.0078,0.0303,-0.026292937500000002,0
1979-01-31,0.1002890625,0.0423,0.0362,0.0219,0.0077,-0.0136,0.0925890625,0
1979-02-28,0.01500196969696969,-0.0356,0.0045,0.0117,0.0073,-0.0106,0.007701969696969691,0
1979-03-31,0.1096189090909091,0.0568,0.0326,-0.0071,0.0081,0.0293,0.1015189090909091,0
1979-04-30,0.05408945714285714,-0.0006,0.0215,0.0112,0.008,0.0081,0.04608945714285714,0
1979-05-31,-0.0007494571428571318,-0.0221,0.0021,0.0131,0.0082,-0.0054,-0.008949457142857133,0
1979-06-30,0.017077571428571425,0.0385,0.0117,0.0144,0.0081,0.0084,0.008977571428571425,0
1979-07-31,0.012665028571428563,0.0082,0.0128,0.0186,0.0077,-0.0107,0.004965028571428562,0
1979-08-31,0.04859922222222222,0.0553,0.0205,-0.0158,0.0077,-0.002,0.04089922222222222,0
1979-09-30,-0.0400159722222222,-0.0082,-0.0027,-0.009,0.0083,0.0528,-0.048315972222222205,0
1979-10-31,-0.09386019444444443,-0.081,-0.0337,-0.0184,0.0087,0.0201,-0.10256019444444443,0
1979-11-30,0.042072222222222226,0.0521,0.0287,-0.0329,0.0099,0.0814,0.03217222222222223,0
1979-12-31,0.08102911111111111,0.0179,0.0417,-0.021,0.0095,0.0478,0.07152911111111111,0
1980-01-31,0.09882452777777775,0.0551,0.0162,0.0175,0.008,0.0755,0.09082452777777775,0
1980-02-29,0.030165138888888884,-0.0122,-0.0185,0.0061,0.0089,0.0788,0.021265138888888882,1
1980-03-31,-0.1469299722222222,-0.129,-0.0664,-0.0101,0.0121,-0.0955,-0.1590299722222222,1
1980-04-30,0.09366619444444442,0.0397,0.0105,0.0106,0.0126,-0.0043,0.08106619444444442,1
1980-05-31,0.059240527777777774,0.0526,0.0213,0.0038,0.0081,-0.0112,0.05114052777777778,1
1980-06-30,0.05911002777777777,0.0306,0.0166,-0.0076,0.0061,0.0162,0.05301002777777777,1
1980-07-31,0.08591072222222218,0.0649,0.0414,-0.0641,0.0053,0.0039,0.08061072222222218,1
1980-08-31,0.033238388888888894,0.018,0.0392,-0.026,0.0064,0.0321,0.026838388888888894,0
1980-09-30,-0.027276972222222223,0.0219,0.0098,-0.0459,0.0075,0.0539,-0.03477697222222222,0
1980-10-31,-0.014155600000000006,0.0106,0.0247,-0.0276,0.0095,0.073,-0.023655600000000006,0
1980-11-30,-0.012318742857142843,0.0959,-0.0336,-0.0833,0.0096,0.1522,-0.02191874285714284,0
1980-12-31,-0.023329085714285713,-0.0452,-0.0026,0.0279,0.0131,-0.0668,-0.036429085714285714,0
1981-01-31,0.007997657142857145,-0.0504,0.0292,0.0672,0.0104,-0.0795,-0.002402342857142855,0
1981-02-28,0.02827644736842104,0.0057,-0.0034,0.0102,0.0107,-0.0135,0.01757644736842104,0
1981-03-31,0.060370315789473675,0.0356,0.0354,0.0064,0.0121,0.0074,0.048270315789473675,0
1981-04-30,-0.004884710526315792,-0.0211,0.044,0.0228,0.0108,-0.0091,-0.015684710526315794,0
1981-05-31,0.02662628947368421,0.0011,0.02,-0.0042,0.0115,0.037,0.015126289473684211,0
1981-06-30,-0.023449027027027024,-0.0236,-0.0083,0.0513,0.0135,-0.0581,-0.03694902702702702,0
1981-07-31,-0.024487945945945947,-0.0154,-0.0219,-0.005,0.0124,-0.0245,-0.036887945945945945,0
1981-08-31,-0.06901127027027026,-0.0704,-0.0195,0.0476,0.0128,-0.0115,-0.08181127027027027,1
1981-09-30,-0.07873578378378379,-0.0717,-0.0265,0.0517,0.0124,0.0195,-0.09113578378378379,1
1981-10-31,0.04356486486486487,0.0492,0.0223,-0.0421,0.0121,0.0401,0.03146486486486487,1
1981-11-30,0.05391626315789474,0.0336,-0.0103,0.0183,0.0107,-0.0027,0.04321626315789474,1
1981-12-31,-0.03910686842105263,-0.0365,0.012,0.0081,0.0087,0.013,-0.04780686842105263,1
1982-01-31,0.042060184210526305,-0.0324,-0.0128,0.0319,0.008,0.0172,0.034060184210526305,1
1982-02-28,-0.015418943396226407,-0.0586,0.0044,0.0605,0.0092,0.0488,-0.024618943396226407,1
1982-03-31,0.060995999999999995,-0.0187,-0.0021,0.0381,0.0098,0.0296,0.05119599999999999,1
1982-04-30,0.08096166037735848,0.0327,0.0147,-0.027,0.0113,-0.004,0.06966166037735848,1
1982-05-31,-0.03149328301886792,-0.0399,0.0052,0.0175,0.0106,0.025,-0.042093283018867916,1
1982-06-30,-0.005316679245283017,-0.0309,-0.004,0.0153,0.0096,0.0496,-0.014916679245283017,1
1982-07-31,0.01848392307692307,-0.0319,0.0083,0.0009,0.0105,0.0445,0.00798392307692307,1
1982-08-31,0.05888607843137254,0.1114,-0.0414,0.0095,0.0076,-0.0352,0.05128607843137254,1
1982-09-30,0.024644411764705883,0.0129,0.0295,0.0028,0.0051,0.0419,0.019544411764705883,1
1982-10-31,0.11093926923076922,0.113,0.0234,-0.0366,0.0059,0.0018,0.10503926923076921,1
1982-11-30,0.08899635294117647,0.0467,0.0467,-0.0187,0.0063,0.0595,0.08269635294117647,1
1982-12-31,0.010158333333333335,0.0055,-0.0022,-0.0002,0.0067,0.0004,0.003458333333333335,0
1983-01-31,0.10926523999999999,0.036,0.0273,-0.0075,0.0069,-0.0173,0.10236523999999998,0
1983-02-28,0.04747057142857142,0.0259,0.0327,0.007,0.0062,0.0377,0.04127057142857142,0
1983-03-31,0.06256012244897959,0.0282,0.0173,0.0202,0.0063,0.0092,0.056260122448979585,0
1983-04-30,0.11406224489795916,0.0667,0.005,0.0049,0.0071,0.0172,0.10696224489795916,0
