Date,Num_Active_Stocks,BEER,GRRR,THT,IBCO,BORN,TFZ,CNWN,CDB,TBVT,PTT,BEAM,PFB,ABW,GBL,RUP,CNB,CKB,FAL,FALB,DRE,NBW,GENBB,RG,RGLD,SLZ,SFR,KNBWY,LONE,GHB,ABUD,BUD,ACCOB,RKY,TAP,PABT,OLYB,PTBC,HAN,BAS,SXC,CU,CCU,HOOK,BREW,SAM,CFN,BRH,ABV,ABEV,AED,MLB,LQU,ROX,CREG,FO,MWGP,MGPI,AFTI,DR,CUE,BACA,BBRL,ADC,SH,DCS,VO,HIR,CHLN,CGAS,BJD,BFD,BF,CDL,DIL,GDS,SBR,HBL,TFI,HTC,JACQ,BBR,CDG,STZ,RAIN,TYLR,THTR,DEO,RUM,VCO,ADSO,NDC,GWT,CEDC,Portfolio_Returns,Portfolio_Proportion
1962-08-31,20,,,,,,,,,,,,0.00025062656641604,,0.00026315789473684004,1.24131082423e-05,0.00015479876160990502,,-2.0242914979755e-05,,0.00030795072788353505,-3.987240829346e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6448029621790004e-05,,,,1.778093883357e-05,-6.8352699931645e-05,1.6550810989735002e-05,,0.00027548209366391,,,8.713837574067502e-05,0.00015266065716778,8.506873412571315e-05,0.00019902697921273503,-8.890469416785001e-05,6.1677631578945e-05,-0.00010814708002883502,9.266123054114001e-05,,,,,,,,,,,,,,,,,0.0016250266837194885,0.05
1962-09-30,17,,,,,,,,,,,,-0.00013460761879121764,,-0.0005629045876723883,-0.00014535094986845295,-0.00017199862401100587,,0.0003767969856241153,,-0.0004717676544301882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00023573415473589413,,,,,-0.00014447884416924118,-0.00015479876160990588,,0.0002582769083483255,,,-0.00030761292371199407,-5.65844037216353e-05,,-8.465557275541765e-05,2.1650176448935295e-05,8.271689551674118e-05,0.0007961079168509521,-1.6848844801076484e-05,,,,,,,,,,,,,,,,,-0.0009517940574893485,0.058823529411764705
1962-10-31,18,,,,,,,,,,,,-0.0003987240829346055,,-0.0012995451591942776,-0.00023046121049750555,0.00017199862401100555,,-0.00012183235867446111,,-3.285366975491111e-05,8.996851102113889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.639483323693332e-05,,,,0.000143255229797088,0.0005929742771848047,8.656509695290555e-05,,-7.735387852346666e-05,,,-0.0001560841605793833,-9.331840238894999e-05,,-0.0001291716573897889,0.00018274853801169443,3.260940455227222e-05,,-0.00013392259274139446,,,,,,,,,,,,,,,,,-0.001469542324384768,0.05555555555555555
1962-11-30,17,,,,,,,,,,,,,,,7.401513609532941e-05,0.0008471549404075333,,0.0002858432375507706,,0.0011088392576281813,-0.00010328977947631765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011756841774142786,,,,0.0006479789536435823,0.0007488509012033235,0.0011063466619498725,,0.00032909583270648233,,,0.0006634232640424588,0.00011407277843263529,,0.0019254921345700899,0.00011307868014564117,0.0008090779564420895,5.014793641241176e-05,0.0005536332179930765,,,,,,,,,,,,,,,,,0.010449445287161439,0.058823529411764705
1962-12-31,17,,,,,,,,,,,,,,,5.1329432296476464e-05,0.00012732365673541764,,0.0005223508412735937,,3.67188073731353e-05,5.027652086475294e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.675884028824706e-05,,,,0.0003113337869322337,-0.00028068487108544706,3.7348272642388235e-05,,0.0007181147926498916,,,0.00017319230531329306,7.648449450702767e-05,,2.678667095252941e-05,0.0002816248862414195,-0.0002950254175744353,0.0003874883286648042,7.66283524904262e-05,,,,,,,,,,,,,,,,,0.0022845320199892604,0.058823529411764705
1963-01-31,17,,,,,,,,,,,,,0.0006535947712418294,,0.0001347618085034647,-4.084967320261177e-05,,0.0003511046291794941,,0.0003631082062454588,-4.951475539710588e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001852974866922706,,,,0.00041924664602682943,0.0012062990744396182,0.00012924190391787059,,7.461127525588236e-06,,,0.00024643737276331177,0.0004406256884776353,,0.00021255114511928823,-0.0001324854266030706,0.0006735518634934883,,0.0005121451565700881,,,,,,,,,,,,,,,,,0.005312577024993448,0.058823529411764705
1963-02-28,17,,,,,,,,,,,,,-0.00013616557734204705,,0.00029120559114734706,0.00047011830892694875,,0.00010974539069358824,,0.0008758169934640528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00048142834369520186,,,,-6.66933440042647e-05,-0.0002723311546840941,0.000480963341858487,,-0.00021587982193636468,,,-0.0003188267176789412,9.706853038244707e-05,,-2.4946365314570588e-05,0.00016109730277087057,0.00039712087366592264,7.262164124908823e-05,-0.00010541851149061766,,,,,,,,,,,,,,,,,0.002296924825403054,0.058823529411764705
1963-03-31,15,,,,,,,,,,,,,,,-0.0005050505050505,,,0.0007942238267147981,,-0.00013227513227512665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023148148148148,,,,-0.00011022927689593999,7.215007215006667e-05,7.673419275628667e-05,,0.0007895299006323393,,,0.0002977977977978004,0.00016737891737892308,,-8.547008547008001e-05,-9.942828734774667e-05,-0.00031676413255359996,0.001046698872785827,0.00030617283950617563,,,,,,,,,,,,,,,,,0.0025329504816107035,0.06666666666666667
1963-04-30,17,,,,,,-0.0008678112393282647,,,,,,,0.00013460761879121764,,0.00016294606485252943,0.00020103735274013527,,6.495052934681175e-05,,0.00011466574934067058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002811069535983617,0.0008085030861154361,9.635646866110588e-05,,-8.367500627562352e-05,,,0.0001595863521751588,0.00032027329988256473,,0.00010969990980229412,-0.00010675776662751765,-0.0001336392186560294,-5.489317787585294e-05,0.0004392937829470294,,,,,,,,,,,,,,,,,0.0016462507594900274,0.058823529411764705
1963-05-31,18,,,,,,-9.233610341643333e-05,,,,,,,0.0004873294346978555,,-0.00017543859649122776,0.0005384224789616264,,-0.00011014980373307222,,0.0007578469984485055,-8.996851102113889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00056759545923633,,,,,0.00031067251461987775,0.0005866973645838121,,8.122157244963888e-05,,,-0.00016244314489928332,5.2213868003338886e-05,,0.0017481422186645312,4.177109440267222e-05,0.0007826584003869268,5.2779361158611105e-05,-6.920654693933889e-05,,,,,,,,,,,,,,,,,0.005307808059113232,0.05555555555555555
