,ABEV,ABUD,ABV,ABW,ACCOB,ADC,ADSO,AED,AFTI,BACA,BAS,BBR,BBRL,BEAM,BEER,BF,BFD,BJD,BORN,BREW,BRH,BUD,CCU,CDB,CDG,CDL,CEDC,CFN,CGAS,CHLN,CKB,CNB,CNWN,CREG,CU,CUE,DCS,DEO,DIL,DR,DRE,FAL,FALB,FO,GBL,GDS,GENBB,GHB,GRRR,GWT,HAN,HBL,HIR,HOOK,HTC,IBCO,JACQ,KNBWY,LONE,LQU,MGPI,MLB,MWGP,NBW,NDC,OLYB,PABT,PFB,PTBC,PTT,RAIN,RG,RGLD,RKY,ROX,RUM,RUP,SAM,SBR,SFR,SH,SLZ,STZ,SXC,TAP,TBVT,TFI,TFZ,THT,THTR,TYLR,VCO,VO,FARM,GMCR,JVA,PEET,Excess Return on the Market,SMB,HML,MOM,USREC
31/07/2016,5.78000021,,,,,,,,,,,,,,,105.6600037,,,1.559999943,11.73999977,,129.4400024,22.87000084,,,,,,,,,,,2.130000114,,,,116.5400009,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,0.827099979,,,182.8800049,,,,,165.0350037,,102.1600037,,,,,,,34.38000107,,30.67000008,,5.739999771,,0.0395,0.0251,-0.0129,-0.0308,0
31/08/2016,5.929999828,,,,,,,,,,,,,,,51.74000168,,,1.570000052,19.85000038,,124.0299988,21.14999962,,,,,,,,,,,1.896000028,,,,112.4800034,,,,,,,,,,,,,,,,,,,,,,,39.93999863,,,,,,,,,,,,,,0.880100012,,,182.6499939,,,,,166.5500031,,102.3199997,,,,,,,33.11000061,,32.02000046,,5.730000019,,0.005,0.0117,0.0311,-0.0317,0
30/09/2016,6.090000153,,,,,,,,,,,,,,,49.75,,,1.470000029,18.82999992,,131.4100037,20.19000053,,,,,,,,,,,1.809999943,,,,116.0400009,,,,,,,,,,,,,,,,,,,,,,,40.52000046,,,,,,,,,,,,,,0.871900022,,,155.2599945,,,,,166.7299957,,109.8000031,,,,,,,34.93000031,,35.54999924,,5.559999943,,0.0025,0.0213,-0.0121,-0.0053,0
31/10/2016,5.900000095,,,,,,,,,,,,,,,48.5,,,1.24000001,16.04999924,,115.4899979,21.5,,,,,,,,,,,1.490100026,,,,107.5299988,,,,,,,,,,,,,,,,,,,,,,,35.20999908,,,,,,,,,,,,,,0.773500025,,,155.25,,,,,169.8800049,,103.8099976,,,,,,,35.27999878,,32.70000076,,5.182400227,,-0.0202,-0.0441,0.0412,0.0069,0
30/11/2016,4.989999771,,,,,,,,,,,,,,,47.24000168,,,1.389999986,15.19999981,,103.2699966,19.88999939,,,,,,,,,,,1.75,,,,101.2399979,,,,,,,,,,,,,,,,,,,,,,,47.29999924,,,,,,,,,,,,,,0.74180001,,,173.1000061,,,,,155.3600006,,98.02999878,,,,,,,32.02999878,,34.84999847,,4.96449995,,0.0486,0.0567,0.0821,-0.0407,0
31/12/2016,4.909999847,,,,,,,,,,,,,,,46.25,,,1.340000033,16.89999962,,105.4400024,20.97999954,,,,,,,,,,,1.491000056,,,,103.9400024,,,,,,,,,,,,,,,,,,,,,,,49.97999954,,,,,,,,,,,,,,0.75999999,,,169.8500061,,,,,153.1999969,,97.30999756,,,,,,,32.97000122,,36.70000076,,4.650000095,,0.0181,0.0009,0.036,-0.0038,0
31/01/2017,5.389999866,,,,,,,,,,,,,,,46.77999878,,,1.25,15.19999981,,104.2600021,22.59000015,,,,,,,,,,,1.799999952,,,,112.0299988,,,,,,,,,,,,,,,,,,,,,,,42.38999939,,,,,,,,,,,,,,0.805100024,,,153.6999969,,,,,151.2799988,,96.51999664,,,,,,,32.72900009,,34.79999924,,4.550000191,,0.0194,-0.0113,-0.0274,-0.0098,0
28/02/2017,5.690000057,,,,,,,,,,,,,,,49.84999847,,,1.279999971,14.69999981,,109.4899979,23.72999954,,,,,,,,,,,1.74000001,,,,114.3099976,,,,,,,,,,,,,,,,,,,,,,,44.22999954,,,,,,,,,,,,,,1.039999962,,,158.6499939,,,,,157.9759979,,100.3899994,,,,,,,33.79999924,,32.67499924,,5,,0.0357,-0.0204,-0.0167,-0.0163,0
31/03/2017,5.760000229,,,,,,,,,,,,,,,47.06999969,,,1.169999957,13.35000038,,109.7600021,25.27000046,,,,,,,,,,,1.579300046,,,,115.5800018,,,,,,,,,,,,,,,,,,,,,,,54.22999954,,,,,,,,,,,,,,1.549999952,,,144.6499939,,,,,162.5200043,,95.70999908,,,,,,,34,,35.34999847,,4.650000095,,0.0017,0.0113,-0.0333,-0.0092,0
30/04/2017,5.730000019,,,,,,,,,,,,,,,48.06000137,,,1.180099964,13.60000038,,113.2399979,25.77000046,,,,,,,,,,,1.58010006,,,,117.4300003,,,,,,,,,,,,,,,,,,,,,,,52.36000061,,,,,,,,,,,,,,1.75999999,,,144.3500061,,,,,171.6936035,,95.88999939,,,,,,,32.59999847,,35.5,,4.920000076,,0.0109,0.0072,-0.0213,0.0044,0
31/05/2017,5.710000038,,,,,,,,,,,,,,,53.04000092,,,1.360000014,16.70000076,,116.9499969,26.35000038,,,,,,,,,,,1.529999971,,,,121.9199982,,,,,,,,,,,,,,,,,,,,,,,51.20999908,,,,,,,,,,,,,,1.950000048,,,142.75,,,,,182.6849976,,94.79000092,,,,,,,31.39999962,,30,,4.869999886,,0.0106,-0.0252,-0.0375,0.0146,0
30/06/2017,5.489999771,,,,,,,,,,,,,,,49.29999924,,,1.350000024,16.85000038,,110.3600006,26.23999977,,,,,,,,,,,1.309999943,,,,119.8300018,,,,,,,,,,,,,,,,,,,,,,,51.16999817,,,,,,,,,,,,,,1.720000029,,,132.1499939,,,,,194.6000061,,86.33999634,,,,,,,30.97999954,,30.25,,4.449999809,,0.0078,0.0223,0.0149,-0.0032,0
31/07/2017,6.079999924,,,,,,,,,,,,,,,51.54000092,,,1.320000052,17.5,,120.6600037,26.61000061,,,,,,,,,,,1.169999957,,,,130.5700073,,,,,,,,,,,,,,,,,,,,,,,58.95999908,,,,,,,,,,,,,,1.789999962,,,156.8000031,,,,,193.3650055,,88.98000336,,,,,,,31.45000076,,31.14999962,,4.159999847,,0.0187,-0.0146,-0.0022,0.0166,0
31/08/2017,6.260000229,,,,,,,,,,,,,,,55.61999893,,,1.200099945,17.39999962,,118.3700027,27.39999962,,,,,,,,,,,1.18719995,,,,134.4100037,,,,,,,,,,,,,,,,,,,,,,,56.22999954,,,,,,,,,,,,,,1.419999957,,,149,,,,,186.3899994,,89.75,,,,,,,34.38999939,,32.54999924,,3.809999943,,0.0016,-0.0165,-0.0207,0.0355,0
30/09/2017,6.590000153,,,,,,,,,,,,,,,55.68999863,,,1.230000019,17.54999924,,119.3000031,26.93000031,,,,,,,,,,,1,,,,132.1300049,,,,,,,,,,,,,,,,,,,,,,,60.63000107,,,,,,,,,,,,,,1.340000033,,,156.1999969,,,,,199.4550018,,81.63999939,,,,,,,33.7140007,,32.84999847,,4.440000057,,0.0251,0.0445,0.0309,-0.0118,0
31/10/2017,6.329999924,,,,,,,,,,,,,,,57.33000183,,,1.360000014,18.25,,122.7799988,28.47999954,,,,,,,,,,,1.190000057,,,,137.0099945,,,,,,,,,,,,,,,,,,,,,,,67.95999908,,,,,,,,,,,,,,1.190000057,,,178.0500031,,,,,218.5899963,,80.87000275,,,,,,,34.75,,33.95000076,,4.170000076,,0.0225,-0.0193,0.0022,0.043,0
30/11/2017,6.190000057,,,,,,,,,,,,,,,60.31000137,,,1.25999999,19.45000076,,114.4899979,25.47999954,,,,,,,,,,,3.170000076,,,,138.4700012,,,,,,,,,,,,,,,,,,,,,,,74.34999847,,,,,,,,,,,,,,1.220000029,,,179.8500061,,,,,218.0399933,,78.09999847,,,,,,,34.04999924,,34.20000076,,4.005000114,,0.0312,-0.0056,-0.0005,-0.0071,0
31/12/2017,6.460000038,,,,,,,,,,,,,,,67.23999786,,,,19.20000076,,111.5599976,29.57999992,,,,,,,,,,,2.799999952,,,,146.0299988,,,,,,,,,,,,,,,,,,,,,,,76.87999725,,,,,,,,,,,,,,1.220000029,,,191.1000061,,,,,227.5,,82.06999969,,,,,,,36.99000168,,32.15000153,,4.256800175,,0.0106,-0.0132,0.0003,-0.0163,0
31/01/2018,6.869999886,,,,,,,,,,,,,,,69,,,,19.35000038,,113.4800034,29.37000084,,,,,,,,,,,2.670000076,,,,143.9600067,,,,,,,,,,,,,,,,,,,,,,,89.54000092,,,,,,,,,,,,,,1.110000014,,,189.8500061,,,,,213.4250031,,84.01999664,,,,,,,43.49000168,,31.60000038,,4.28000021,,0.0558,-0.0318,-0.0136,0.0394,0
28/02/2018,6.75,,,,,,,,,,,,,,,68,,,,17.85000038,,106.1800003,27.86000061,,,,,,,,,,,2.019999981,,,,135.6399994,,,,,,,,,,,,,,,,,,,,,,,83.91999817,,,,,,,,,,,,,,1.159999967,,,163.0500031,,,,,215.5350037,,76.25,,,,,,,43.20000076,,31.20000076,,4.349999905,,-0.0365,0.0026,-0.0103,0.0397,0
31/03/2018,7.269999981,,,,,,,,,,,,,,,53.33000183,,,,18.60000038,,109.9400024,29.40999985,,,,,,,,,,,1.419999957,,,,135.4199982,,,,,,,,,,,,,,,,,,,,,,,89.58999634,,,,,,,,,,,,,,1.24000001,,,189.0500031,,,,,229.6461945,,75.33000183,,,,,,,41.5,,30.20000076,,4.340000153,,-0.0235,0.0406,-0.0023,-0.0128,0
30/04/2018,6.619999886,,,,,,,,,,,,,,,53.36999893,,,,19.29999924,,100.0800018,27.62000084,,,,,,,,,,,1.460000038,,,,141.9600067,,,,,,,,,,,,,,,,,,,,,,,95.79000092,,,,,,,,,,,,,,1.25,,,224.1499939,,,,,232.5,,71.23999786,,,,,,,44.27000046,,28.35000038,,4.179999828,,0.0029,0.011,0.0048,0.0027,0
31/05/2018,5.260000229,,,,,,,,,,,,,,,54.91999817,,,,19.64999962,,93.58999634,25.36000061,,,,,,,,,,,1.799999952,,,,146.5200043,,,,,,,,,,,,,,,,,,,,,,,88.55000305,,,,,,,,,,,,,,1.269999981,,,253.8500061,,,,,222.9627075,,61.65000153,,,,,,,42.5,,29.20000076,,4.230000019,,0.0265,0.0531,-0.0313,0.038,0
30/06/2018,4.630000114,,,,,,,,,,,,,,,48.86000061,,,,20.64999962,,100.7600021,24.94000053,,,,,,,,,,,1.549900055,,,,144.0099945,,,,,,,,,,,,,,,,,,,,,,,88.80999756,,,,,,,,,,,,,,1.190000057,,,299.7000122,,,,,221.4700012,,68.04000092,,,,,,,41.61000061,,30.54999924,,5.400000095,,0.0048,0.0113,-0.0233,-0.0238,0
31/07/2018,5.139999866,,,,,,,,,,,,,,,53.27000046,,,,19.79999924,,101.7200012,27.22999954,,,,,,,,,,,1.389999986,,,,147.2700043,,,,,,,,,,,,,,,,,,,,,,,82.06999969,,,,,,,,,,,,,,1.230000019,,,274.9500122,,,,,210.4799957,,67,,,,,,,,,28.85000038,,5.449999809,,0.0319,-0.0225,0.0045,-0.0167,0
31/08/2018,4.650000095,,,,,,,,,,,,,,,52.63999939,,,,18.95000076,,93.23000336,26.39999962,,,,,,,,,,,1.230000019,,,,139.4100037,,,,,,,,,,,,,,,,,,,,,,,77.11000061,,,,,,,,,,,,,,1.149999976,,,303.1499939,,,,,208.9799957,,66.73999786,,,,,,,,,29,,5.110000134,,0.0344,0.0114,-0.0398,0.0522,0
30/09/2018,4.570000172,,,,,,,,,,,,,,,50.79999924,,,,16.35000038,,87.56999969,27.89999962,,,,,,,,,,,1.159999967,,,,141.6699982,,,,,,,,,,,,,,,,,,,,,,,78.98000336,,,,,,,,,,,,,,1.070000052,,,287.5,,,,,220.6999969,,61.5,,,,,,,,,26.39999962,,4.420000076,,0.0006,-0.023,-0.017,-0.0006,0
31/10/2018,4.329999924,,,,,,,,,,,,,,,46.36999893,,,,18.34000015,,73.98000336,25.06999969,,,,,,,,,,,1.279999971,,,,138.1600037,,,,,,,,,,,,,,,,,,,,,,,71.16999817,,,,,,,,,,,,,,0.948700011,,,307.2900085,,,,,201.7050018,,64,,,,,,,,,24.11000061,,4.349999905,,-0.0768,-0.0482,0.0343,-0.0184,0
30/11/2018,4.269999981,,,,,,,,,,,,,,,48.61000061,,,,16.07999992,,76.87000275,25.97999954,,,,,,,,,,,1.070000052,,,,144.3500061,,,,,,,,,,,,,,,,,,,,,,,67.98999786,,,,,,,,,,,,,,0.899200022,,,274.5400085,,,,,197.2700043,,65.76999664,,,,,,,,,24.35000038,,3.940000057,,0.0169,-0.0068,0.0026,-0.0133,0
31/12/2018,3.920000076,,,,,,,,,,,,,,,47.41999817,,,,14.31000042,,65.80999756,25.12999916,,,,,,,,,,,0.737999976,,,,141.8000031,,,,,,,,,,,,,,,,,,,,,,,57.04999924,,,,,,,,,,,,,,0.850499988,,,240.8399963,,,,,161.5800018,,56.15999985,,,,,,,,,23.32999992,,3.529999971,,-0.0955,-0.0242,-0.019,0.0185,0
31/01/2019,4.809999943,,,,,,,,,,,,,,,47.02999878,,,,16.45999908,,76.44000244,27.90999985,,,,,,,,,,,1.149999976,,,,152.6499939,,,,,,,,,,,,,,,,,,,,,,,71.79000092,,,,,,,,,,,,,,0.845300019,,,249.1600037,,,,,173.9949951,,66.61000061,,,,,,,,,24.60000038,,6.079999924,,0.0841,0.029,-0.0044,-0.0865,0
28/02/2019,4.53000021,,,,,,,,,,,,,,,49.29999924,,,,17.04999924,,78.16000366,28.71999931,,,,,,,,,,,1.029999971,,,,154.7799988,,,,,,,,,,,,,,,,,,,,,,,81.84999847,,,,,,,,,,,,,,0.879999995,,,312.5599976,,,,,171.2760925,,61.65999985,,,,,,,,,23.85000038,,7.070000172,,0.034,0.0204,-0.0268,0.0086,0
31/03/2019,4.300000191,,,,,,,,,,,,,,,51.16999817,,,,13.97999954,,83.97000122,29.45999908,,,,,,,,,,,0.974918008,,,,163.6100006,,,,,,,,,,,,,,,,,,,,,,,77.15000153,,,,,,,,,,,,,,0.696500003,,,294.730011,,,,,175.9400024,,59.65000153,,,,,,,,,20.01000023,,5.409999847,,0.011,-0.0298,-0.0405,0.0214,0
30/04/2019,4.710000038,,,,,,,,,,,,,,,52.29999924,,,,14.10999966,,88.94000244,27.54000092,,,,,,,,,,,0.660000026,,,,168.6399994,,,,,,,,,,,,,,,,,,,,,,,87.87000275,,,,,,,,,,,,,,0.639599979,,,310.0100098,,,,,213.1450043,,64.19000244,,,,,,,,,20.15999985,,5.079999924,,0.0396,-0.0174,0.0217,-0.0255,0
31/05/2019,4.46999979,,,,,,,,,,,,,,,49.20999908,,,,13.81000042,,81.40000153,26.80999947,,,,,,,,,,,0.389999986,,,,168.0599976,,,,,,,,,,,,,,,,,,,,,,,60.20999908,,,,,,,,,,,,,,0.495000005,,,314.2999878,,,,,177.3865967,,54.97999954,,,,,,,,,18.31999969,,4.389999866,,-0.0694,-0.0134,-0.0237,0.076,0
30/06/2019,4.670000076,,,,,,,,,,,,,,,55,,,,13.98999977,,88.51000214,28.25,,,,,,,,,,,0.419999987,,,,172.3200073,,,,,,,,,,,,,,,,,,,,,,,66.30999756,,,,,,,,,,,,,,0.4639,,,377.7600098,,,,,200.1289978,,56,,,,,,,,,16.37000084,,4.090000153,,0.0693,0.0025,-0.0071,-0.0214,0
31/07/2019,5.269999981,,,,,,,,,,,,,,,53.36000061,,,,15.71000004,,100.9800034,27.95999908,,,,,,,,,,,0.367000014,,,,166.8800049,,,,,,,,,,,,,,,,,,,,,,,49.99000168,,,,,,,,,,,,,,0.556500018,,,392.3200073,,,,,199.4499969,,53.99000168,,,,,,,,,16.23999977,,4.039999962,,0.0119,-0.0194,0.0042,0.0272,0
31/08/2019,4.539999962,,,,,,,,,,,,,,,57.56999969,,,,10.05000019,,94.5,22.60000038,,,,,,,,,,,0.400400013,,,,171.2799988,,,,,,,,,,,,,,,,,,,,,,,48.16999817,,,,,,,,,,,,,,1.269999981,,,438.4200134,,,,,204.3399963,,51.36000061,,,,,,,,,12.14000034,,3.859999895,,-0.0258,-0.0232,-0.0495,0.0764,0
30/09/2019,4.619999886,,,,,,,,,,,,,,,59.75,,,,8.18999958,,95.15000153,22.19000053,,,,,,,,,,,0.34009999,,,,163.5200043,,,,,,,,,,,,,,,,,,,,,,,49.68000031,,,,,,,,,,,,,,1.25999999,,,364.0799866,,,,,207.9049988,,57.5,,,,,,,,,12.94999981,,3.910000086,,0.0143,-0.0097,0.0683,-0.0685,0
31/10/2019,4.309999943,,,,,,,,,,,,,,,62.15000153,,,,7.289999962,,80.76999664,19.85000038,,,,,,,,,,,0.334199995,,,,163.8699951,,,,,,,,,,,,,,,,,,,,,,,42.88999939,,,,,,,,,,,,,,,,,374.4599915,,,,,191.0549927,,52.72000122,,,,,,,,,12.82999992,,3.779999971,,0.0206,0.0028,-0.0193,0.0029,0
30/11/2019,4.210000038,,,,,,,,,,,,,,,63.79999924,,,,16.47999954,,79.34999847,18.51000023,,,,,,,,,,,0.200097993,,,,163.4400024,,,,,,,,,,,,,,,,,,,,,,,45.61999893,,,,,,,,,,,,,,,,,384.3200073,,,,,186.1100006,,50.47999954,,,,,,,,,15.17000008,,4.030099869,,0.0387,0.008,-0.0202,-0.026,0
31/12/2019,4.659999847,,,,,,,,,,,,,,,62.77000046,,,,16.5,,82.04000092,18.96999931,,,,,,,,,,,0.280400008,,,,168.4199982,,,,,,,,,,,,,,,,,,,,,,,48.45000076,,,,,,,,,,,,,,,,,377.8500061,,,,,188.7810059,,53.90000153,,,,,,,,,15.06000042,,4.599999905,,0.0277,0.0072,0.0179,-0.0227,0
31/01/2020,4.159999847,,,,,,,,,,,,,,,64.26999664,,,,16.39999962,,75.30000305,17.81999969,,,,,,,,,,,0.349299014,,,,157.9499969,,,,,,,,,,,,,,,,,,,,,,,34.06000137,,,,,,,,,,,,,,,,,356.3800049,,,,,188.3099976,,55.58000183,,,,,,,,,11.97999954,,4.059999943,,-0.0011,-0.0313,-0.0624,0.0543,0
29/02/2020,3.210000038,,,,,,,,,,,,,,,58.68999863,,,,15.90999985,,58.36999893,15.93999958,,,,,,,,,,,0.335000008,,,,141.9100037,,,,,,,,,,,,,,,,,,,,,,,28.76000023,,,,,,,,,,,,,,,,,370.7900085,,,,,167.9100037,,49.61000061,,,,,,,,,12.35000038,,3.900000095,,-0.0813,0.0103,-0.0379,-0.0023,0
31/03/2020,2.299999952,,,,,,,,,,,,,,,51.38000107,,,,14.89999962,,44.11999893,13.38000011,,,,,,,,,,,0.324000001,,,,127.1200027,,,,,,,,,,,,,,,,,,,,,,,26.88999939,,,,,,,,,,,,,,,,,367.5599976,,,,,148.6994934,,39.00999832,,,,,,,,,6.960000038,,2.329999924,,-0.1338,-0.0489,-0.1402,0.0854,1
30/04/2020,2.150000095,,,,,,,,,,,,,,,56.72000122,,,,15.10000038,,46.52000046,14.22000027,,,,,,,,,,,2.940000057,,,,138.6499939,,,,,,,,,,,,,,,,,,,,,,,37.72999954,,,,,,,,,,,,,,,,,466.5100098,,,,,165.3899994,,41.00999832,,,,,,,,,9.239999771,,2.839999914,,0.1365,0.0247,-0.0118,-0.0549,1
31/05/2020,2.309999943,,,,,,,,,,,,,,,59.34999847,,,,15.10999966,,46.88000107,14.01000023,,,,,,,,,,,2.180000067,,,,140.6100006,,,,,,,,,,,,,,,,,,,,,,,37.50999832,,,,,,,,,,,,,,,,,564.7299805,,,,,172.7850037,,37.95999908,,,,,,,,,7.710000038,,2.809999943,,0.0558,0.0245,-0.048,0.0067,0
30/06/2020,2.640000105,,,,,,,,,,,,,,,57.56999969,,,,15.39000034,,49.29999924,14.31999969,,,,,,,,,,,2.25,,,,134.3899994,,,,,,,,,,,,,,,,,,,,,,,36.70500183,,,,,,,,,,,,,,,,,536.6500244,,,,,174.3800049,,34.36000061,,,,,,,,,7.340000153,,3,,0.0246,0.0269,-0.0204,-0.0075,0
31/07/2020,2.680000067,,,,,,,,,,,,,,,63.24000168,,,,14.81000042,,54.43000031,14.97000027,,,,,,,,,,,2.86500001,,,,147.2400055,,,,,,,,,,,,,,,,,,,,,,,36.27000046,,,,,,,,,,,,,,,,,810.4400024,,,,,177.3600006,,37.52000046,,,,,,,,,4.980000019,,2.809999943,,0.0577,-0.0227,-0.0146,0.0761,0
31/08/2020,2.25,,,,,,,,,,,,,,,66.48000336,,,,15.61999989,,58.15000153,13.19999981,,,,,,,,,,,2.5,,,,134.3999939,,,,,,,,,,,,,,,,,,,,,,,35.54999924,,,,,,,,,,,,,,,,,881.9799805,,,,,184.4949951,,37.63999939,,,,,,,,,6.289999962,,3.190000057,,0.0763,-0.0022,-0.0293,0.0051,0
30/09/2020,2.25999999,,,,,,,,,,,,,,,68.68000031,,,,,,53.88000107,12.97000027,,,,,,,,,,,3.130000114,,,,137.6600037,,,,,,,,,,,,,,,,,,,,,,,39.74000168,,,,,,,,,,,,,,,,,883.3599854,,,,,190.9199982,,33.56000137,,,,,,,,,4.420000076,,3.480000019,,-0.0363,-0.0004,-0.0266,0.0305,0
31/10/2020,2.140000105,,,,,,,,,,,,,,,62.75,,,,,,51.90999985,10.76000023,,,,,,,,,,,2.970000029,,,,130.1799927,,,,,,,,,,,,,,,,,,,,,,,42.02000046,,,,,,,,,,,,,,,,,1039.180054,,,,,165.0850067,,35.25999832,,,,,,,,,3.470000029,,3.809999943,,-0.021,0.0439,0.0419,-0.0303,0
30/11/2020,2.660000086,,,,,,,,,,,,,,,73.73000336,,,,,,66.68000031,14.31000042,,,,,,,,,,,5.190000057,,,,154.9499969,,,,,,,,,,,,,,,,,,,,,,,43.61000061,,,,,,,,,,,,,,,,,930.8400269,,,,,206.1699982,,46,,,,,,,,,4.449999809,,3.940000057,,0.1247,0.0574,0.0199,-0.1225,0
31/12/2020,3.059999943,,,,,,,,,,,,,,,73.47000122,,,,,,69.91000366,14.69999981,,,,,,,,,,,5.090000153,,,,158.8099976,,,,,,,,,,,,,,,,,,,,,,,47.06000137,,,,,,,,,,,,,,,,,994.289978,,,,,219.3300018,,45.18999863,,,,,,,,,4.670000076,,3.839999914,,0.0463,0.0483,-0.0156,-0.0242,0
