,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1967-11-30,-0.005684,0.0037,0.0021,-0.017,0.0036,0.0126,-0.009284,0
1967-12-31,0.01143,0.0305,0.0573,-0.0053,0.0033,0.0325,0.008129999999999998,0
1968-01-31,-0.128807,-0.0406,0.0392,0.048,0.004,-0.047,-0.132807,0
1968-02-29,-0.0751635,-0.0375,-0.0294,0.0128,0.0039,-0.0343,-0.0790635,0
1968-03-31,0.017374,0.002,-0.0134,-0.0059,0.0038,0.0323,0.013574000000000001,0
1968-04-30,0.1425615,0.0905,0.0568,-0.0113,0.0043,0.0509,0.1382615,0
1968-05-31,0.1365015,0.0228,0.064,0.0085,0.0045,0.038,0.1320015,0
1968-06-30,0.0355845,0.0069,-0.0019,0.0073,0.0043,-0.019,0.0312845,0
1968-07-31,-0.045827999999999994,-0.0272,-0.0136,0.0539,0.0048,-0.0088,-0.05062799999999999,0
1968-08-31,0.16017299999999998,0.0134,0.0234,0.0101,0.0042,0.0189,0.15597299999999997,0
1968-09-30,-0.0915995,0.0403,0.028,0.003,0.0043,-0.0065,-0.0958995,0
1968-10-31,0.09911299999999999,0.0042,-0.0048,0.0286,0.0044,-0.0146,0.09471299999999999,0
1968-11-30,0.0335975,0.0543,0.0234,-0.0092,0.0042,0.0175,0.029397500000000003,0
1968-12-31,-0.034012,-0.0394,0.0337,-0.0001,0.0043,-0.0001,-0.038312,0
1969-01-31,0.023237,-0.0125,-0.0074,0.0167,0.0053,-0.0017,0.017937,0
1969-02-28,-0.073171,-0.0584,-0.0392,0.0091,0.0046,-0.0236,-0.077771,0
1969-03-31,-0.0568385,0.0264,-0.003,-0.0051,0.0046,0.0397,-0.0614385,0
1969-04-30,-0.07788999999999996,0.0146,-0.0086,-0.0003,0.0053,0.0113,-0.08318999999999996,0
1969-05-31,0.08092300000000001,-0.001,-0.0021,0.007,0.0048,0.017,0.07612300000000001,0
