,gvkey,iid,datadate,tic,trt1m,naics,sic
80347,1408,01,30/11/1964,BEAM.2,0.0563,312140.0,2085.0
80348,1408,01,31/12/1964,BEAM.2,-5.6948,312140.0,2085.0
80349,1408,01,31/01/1965,BEAM.2,7.5784,312140.0,2085.0
80350,1408,01,28/02/1965,BEAM.2,-0.3087,312140.0,2085.0
80351,1408,01,31/03/1965,BEAM.2,1.4521,312140.0,2085.0
80352,1408,01,30/04/1965,BEAM.2,5.2485,312140.0,2085.0
80353,1408,01,31/05/1965,BEAM.2,1.0667,312140.0,2085.0
80354,1408,01,30/06/1965,BEAM.2,-4.0,312140.0,2085.0
80355,1408,01,31/07/1965,BEAM.2,4.8611,312140.0,2085.0
80356,1408,01,31/08/1965,BEAM.2,8.7549,312140.0,2085.0
80357,1408,01,30/09/1965,BEAM.2,-4.0118,312140.0,2085.0
80358,1408,01,31/10/1965,BEAM.2,6.7435,312140.0,2085.0
80359,1408,01,30/11/1965,BEAM.2,-9.5003,312140.0,2085.0
80360,1408,01,31/12/1965,BEAM.2,3.7046,312140.0,2085.0
80361,1408,01,31/01/1966,BEAM.2,3.8572,312140.0,2085.0
80362,1408,01,28/02/1966,BEAM.2,-5.7328,312140.0,2085.0
80363,1408,01,31/03/1966,BEAM.2,-3.3449,312140.0,2085.0
80364,1408,01,30/04/1966,BEAM.2,-4.485,312140.0,2085.0
80365,1408,01,31/05/1966,BEAM.2,-1.5942,312140.0,2085.0
80366,1408,01,30/06/1966,BEAM.2,0.388,312140.0,2085.0
80367,1408,01,31/07/1966,BEAM.2,-0.3865,312140.0,2085.0
80368,1408,01,31/08/1966,BEAM.2,-8.0,312140.0,2085.0
80369,1408,01,30/09/1966,BEAM.2,-1.2183,312140.0,2085.0
80370,1408,01,31/10/1966,BEAM.2,11.2333,312140.0,2085.0
80371,1408,01,30/11/1966,BEAM.2,-5.3941,312140.0,2085.0
80372,1408,01,31/12/1966,BEAM.2,-0.8033,312140.0,2085.0
80373,1408,01,31/01/1967,BEAM.2,16.197,312140.0,2085.0
80374,1408,01,28/02/1967,BEAM.2,-4.9903,312140.0,2085.0
80375,1408,01,31/03/1967,BEAM.2,4.4306,312140.0,2085.0
80376,1408,01,30/04/1967,BEAM.2,-1.0535,312140.0,2085.0
80377,1408,01,31/05/1967,BEAM.2,-7.3381,312140.0,2085.0
